ID,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,VCH,VCD,VCA
611,8/24/2013,Sampdoria,Juventus,A,8,4,1.45,7.25,4,1.48,5.5,4,1.55,6,4,1.53,7,4,1.5,7.5,4,1.55
612,8/24/2013,Verona,Milan,H,4.75,3.6,1.75,4.75,3.75,1.7,4.7,3.6,1.7,4.8,3.6,1.75,4.75,3.6,1.75,4.8,3.6,1.8
613,8/25/2013,Cagliari,Atalanta,H,2.5,3,3,2.45,3.1,3,2.3,3.2,3,2.37,3.2,3,2.5,3,3,2.55,3.2,3.1
614,8/25/2013,Inter,Genoa,H,1.62,3.75,5.5,1.6,3.75,5.75,1.65,3.7,4.9,1.61,3.75,5.5,1.7,3.75,4.8,1.67,3.9,5.75
615,8/25/2013,Lazio,Udinese,H,2,3.4,3.75,1.95,3.4,3.9,1.9,3.45,3.8,1.85,3.5,4.2,2,3.4,3.75,2,3.4,4.1
616,8/25/2013,Livorno,Roma,A,3.6,3.5,2,3.7,3.4,2,3.6,3.3,2,3.75,3.4,2,3.4,3.6,2.05,3.75,3.6,2.05
617,8/25/2013,Napoli,Bologna,H,1.36,4.75,8.5,1.33,5,9,1.4,4.4,7.3,1.4,4.5,7.5,1.4,4.5,8,1.4,4.8,9
618,8/25/2013,Parma,Chievo,D,1.85,3.5,4.2,1.83,3.4,4.5,1.9,3.45,3.8,1.9,3.4,4,1.85,3.4,4.4,1.9,3.5,4.6
619,8/25/2013,Torino,Sassuolo,H,2,3.3,3.8,1.95,3.3,4,2,3.3,3.6,1.9,3.4,4,2.05,3.25,3.8,2.05,3.4,4
620,8/26/2013,Fiorentina,Catania,H,1.44,4.2,7.5,1.45,4.2,7.25,1.45,4,7,1.53,4,6,1.5,4.2,6.5,1.5,4.5,7
621,8/31/2013,Chievo,Napoli,A,4.75,3.5,1.75,4.75,3.5,1.75,4.5,3.5,1.75,4.8,3.5,1.76,4.5,3.4,1.83,5,3.6,1.83
622,8/31/2013,Juventus,Lazio,H,1.36,4.5,9,1.35,5,8.25,1.4,4.4,7.3,1.4,4.5,7.5,1.36,4.75,8.5,1.36,4.8,10.5
623,9/1/2013,Atalanta,Torino,H,2.1,3.2,3.6,2.1,3.25,3.6,2,3.3,3.6,2.15,3.2,3.5,2.15,3.2,3.6,2.15,3.25,3.8
624,9/1/2013,Bologna,Sampdoria,D,2.2,3.25,3.3,2.25,3.2,3.25,2.2,3.2,3.2,2.25,3.2,3.2,2.25,3.2,3.3,2.3,3.25,3.5
625,9/1/2013,Catania,Inter,A,2.75,3.2,2.6,2.95,3.25,2.4,3,3.2,2.3,2.87,3.3,2.4,2.9,3.25,2.45,2.8,3.3,2.7
626,9/1/2013,Genoa,Fiorentina,A,4,3.3,1.95,4,3.4,1.91,3.3,3.3,2.1,3.5,3.4,2,4,3.5,1.91,4,3.5,1.95
627,9/1/2013,Milan,Cagliari,H,1.4,4.5,7.5,1.36,4.6,8.75,1.35,4.8,7.6,1.4,4.5,8,1.4,4.5,8,1.4,4.8,9.5
628,9/1/2013,Roma,Verona,H,1.4,4.5,8,1.42,4.33,7.75,1.45,4,7,1.44,4.33,7,1.44,4.4,7,1.45,4.6,7.5
629,9/1/2013,Sassuolo,Livorno,A,1.95,3.2,4.2,1.95,3.4,3.9,2,3.3,3.6,2,3.3,3.75,2,3.25,4,2.05,3.3,4.2
630,9/1/2013,Udinese,Parma,H,2.1,3.25,3.6,1.95,3.5,3.8,1.9,3.45,3.8,2,3.4,3.75,2,3.4,3.8,2.15,3.4,3.75
631,9/14/2013,Inter,Juventus,D,3.5,3.3,2.1,3.75,3.4,2.1,3.3,3.3,2.1,3.4,3.4,2.1,3.3,3.4,2.15,3.6,3.4,2.15
